ï»¿Rk;Player;M;M W-L;M W%;SPW;SPW-InP;Aces;Ace%;DFs;DF%;DF/2s;1stIn;1st%;2nd%;2%-InP;Hld%;Pts/SG;PtsL/SG,,,,,,,,,,,
13;Cameron NorrieÂ [GBR];73;52-21;7,12;6,5;6,46;342;0,61;150;0,27;0,77;6,51;7,22;5,17;5,6;8,19;62;22
14;Rafael NadalÂ [ESP];25;17-ago;6,8;6,52;6,57;132;0,56;88;0,37;1,03;6,39;7,16;5,37;5,99;8,03;61;21
15;Hubert HurkaczÂ [POL];60;38-22;6,33;6,96;6,54;902;1,69;134;0,25;0,68;6,3;7,99;5,21;5,59;8,88;62;19
16;Borna CoricÂ [CRO];47;30-17;6,38;6,64;6,51;240;0,81;70;0,24;0,62;6,2;7,48;5,25;5,6;8,26;62;21
17;Tommy PaulÂ [USA];63;39-24;6,19;6,44;6,4;289;0,59;131;0,27;0,73;6,35;7,1;5,3;5,71;8,15;64;23
18;Alex De MinaurÂ [AUS];66;42-24;6,36;6,32;6,39;221;0,47;176;0,37;0,87;5,73;7,19;5,17;5,66;7,96;64;23
19;Lorenzo MusettiÂ [ITA];61;32-29;5,25;6,41;6,38;210;0,52;99;0,24;0,68;6,42;6,98;5,4;5,79;7,87;61;22
20;Matteo BerrettiniÂ [ITA];41;29-dic;7,07;6,94;6,64;422;1,4;78;0,26;0,7;6,28;7,97;5,18;5,57;8,92;62;19
21;Pablo Carreno BustaÂ [ESP];40;22-18;5,5;6,71;6,65;206;0,66;77;0,25;0,73;6,6;7,14;5,88;6,34;8,36;62;20
22;Alexander ZverevÂ [GER];30;17-13;5,67;6,39;6,32;237;0,96;108;0,44;1,51;7,09;7,13;4,61;5,43;7,96;64;23
23;Marin CilicÂ [CRO];30;20-ott;6,67;6,72;6,51;336;1,41;106;0,45;1,12;6,02;7,78;5,11;5,75;8,56;61;20
24;Daniel EvansÂ [GBR];55;27-28;4,91;6,32;6,35;213;0,55;140;0,36;0,94;6,14;7,05;5,17;5,7;7,75;63;23
25;Roberto Bautista AgutÂ [ESP];58;33-25;5,69;6,57;6,57;185;0,44;101;0,24;0,71;6,59;7,08;5,58;6;8,23;63;22,
26;Nick KyrgiosÂ [AUS];34;28-giu;8,24;7,22;6,89;594;2,04;131;0,45;1,4;6,79;7,9;5,77;6,71;9,34;60;17
27;Denis ShapovalovÂ [CAN];51;25-26;4,9;6,66;6,83;430;1,11;300;0,77;1,88;5,89;7,7;5,15;6,35;8,28;61;20
28;Jan Lennard StruffÂ [GER];41;28-13;6,83;6,56;6,47;310;1,03;126;0,42;0,98;5,71;7,54;5,27;5,84;8,52;64;22
29;Sebastian KordaÂ [USA];43;28-15;6,51;6,52;6,37;308;0,87;91;0,26;0,72;6,44;7,21;5,27;5,68;8,36;64;22
30;Botic Van De ZandschulpÂ [NED];62;34-28;5,48;6,17;6,21;392;0,83;271;0,57;1,51;6,2;7,12;4,63;5,46;7,58;65;25
31;Francisco CerundoloÂ [ARG];55;27-28;4,91;6,07;6,19;133;0,32;163;0,39;1,07;6,35;6,77;4,85;5,43;7,51;65;26
32;Yoshihito NishiokaÂ [JPN];40;23-17;5,75;6,12;6,13;93;0,29;61;0,19;0,56;6,64;6,46;5,46;5,78;7,54;67;26
33;Grigor DimitrovÂ [BUL];42;22-20;5,24;6,71;6,59;333;1,11;118;0,39;1,07;6,35;7,69;5;5,6;8,35;61;20,
34;Alejandro Davidovich FokinaÂ [ESP];50;25-25;5;6,17;6,2;167;0,4;119;0,28;0,82;6,58;6,65;5,27;5,74;7,62;65;25,
35;Ben SheltonÂ [USA];25;nov-14;4,4;6,75;6,68;254;1,14;105;0,47;1,22;6,13;7,69;5,25;5,98;8,57;63;21
36;Tallon GriekspoorÂ [NED];51;26-25;5,1;6,66;6,57;360;0,98;137;0,37;1,06;6,48;7,46;5,19;5,8;8,42;63;21
37;Miomir KecmanovicÂ [SRB];56;29-27;5,18;6,29;6,2;229;0,59;86;0,22;0,59;6,22;6,88;5,3;5,63;7,7;63;23
38;Bernabe Zapata MirallesÂ [ESP];41;20-21;4,88;5,81;5,84;86;0,26;76;0,23;0,69;6,62;6,27;4,92;5,29;6,89;66;27
39;Jiri LeheckaÂ [CZE];51;29-22;5,69;6,37;6,31;246;0,67;111;0,3;0,86;6,48;7,03;5,16;5,65;7,88;64;23
40;Sebastian BaezÂ [ARG];52;22-30;4,23;6,14;6,22;78;0,22;92;0,26;0,94;7,25;6,41;5,43;6;7,48;63;24,
41;Maxime CressyÂ [USA];50;23-27;4,6;6,93;7,28;795;1,88;503;1,19;2,93;5,94;8,02;5,32;7,53;8,98;62;19
42;Andy MurrayÂ [GBR];39;22-17;5,64;6,42;6,36;232;0,69;104;0,31;0,8;6,14;7,29;5,04;5,48;7,96;63;23
